Pos	TARGET	HK
A1	ALYREF	0
A2	RPLPO	0
A3	CD44	0
A4	ALYREF	0
A5	RPLPO	0
A6	CD44	0
A7	ALYREF	0
A8	RPLPO	0
A9	CD44	0
A10	ALYREF	0
A11	RPLPO	0
A12	CD44	0
A13	ALYREF	0
A14	RPLPO	0
A15	CD44	0
A16	ALYREF	0
A17	RPLPO	0
A18	CD44	0
A19	ALYREF	0
A20	RPLPO	0
A21	CD44	0
A22	ALYREF	0
A23	RPLPO	0
A24	CD44	0
B1	BAG1	0
B2	GRB7	0
B3	NDUFB10	0
B4	BAG1	0
B5	GRB7	0
B6	NDUFB10	0
B7	BAG1	0
B8	GRB7	0
B9	NDUFB10	0
B10	BAG1	0
B11	GRB7	0
B12	NDUFB10	0
B13	BAG1	0
B14	GRB7	0
B15	NDUFB10	0
B16	BAG1	0
B17	GRB7	0
B18	NDUFB10	0
B19	BAG1	0
B20	GRB7	0
B21	NDUFB10	0
B22	BAG1	0
B23	GRB7	0
B24	NDUFB10	0
C1	APOBEC3B	0
C2	TFRC	0
C3	TBP	1
C4	APOBEC3B	0
C5	TFRC	0
C6	TBP	1
C7	APOBEC3B	0
C8	TFRC	0
C9	TBP	1
C10	APOBEC3B	0
C11	TFRC	0
C12	TBP	1
C13	APOBEC3B	0
C14	TFRC	0
C15	TBP	1
C16	APOBEC3B	0
C17	TFRC	0
C18	TBP	1
C19	APOBEC3B	0
C20	TFRC	0
C21	TBP	1
C22	APOBEC3B	0
C23	TFRC	0
C24	TBP	1
D1	RACGAP1c	0
D2	CTSL2	0
D3	PGR	0
D4	RACGAP1c	0
D5	CTSL2	0
D6	PGR	0
D7	RACGAP1c	0
D8	CTSL2	0
D9	PGR	0
D10	RACGAP1c	0
D11	CTSL2	0
D12	PGR	0
D13	RACGAP1c	0
D14	CTSL2	0
D15	PGR	0
D16	RACGAP1c	0
D17	CTSL2	0
D18	PGR	0
D19	RACGAP1c	0
D20	CTSL2	0
D21	PGR	0
D22	RACGAP1c	0
D23	CTSL2	0
D24	PGR	0
E1	EPN3 8957	0
E2	LY6E	0
E3	NOL3	0
E4	EPN3 8957	0
E5	LY6E	0
E6	NOL3	0
E7	EPN3 8957	0
E8	LY6E	0
E9	NOL3	0
E10	EPN3 8957	0
E11	LY6E	0
E12	NOL3	0
E13	EPN3 8957	0
E14	LY6E	0
E15	NOL3	0
E16	EPN3 8957	0
E17	LY6E	0
E18	NOL3	0
E19	EPN3 8957	0
E20	LY6E	0
E21	NOL3	0
E22	EPN3 8957	0
E23	LY6E	0
E24	NOL3	0
F1	BIRC5	0
F2	GUSB	1
F3	MMP11	0
F4	BIRC5	0
F5	GUSB	1
F6	MMP11	0
F7	BIRC5	0
F8	GUSB	1
F9	MMP11	0
F10	BIRC5	0
F11	GUSB	1
F12	MMP11	0
F13	BIRC5	0
F14	GUSB	1
F15	MMP11	0
F16	BIRC5	0
F17	GUSB	1
F18	MMP11	0
F19	BIRC5	0
F20	GUSB	1
F21	MMP11	0
F22	BIRC5	0
F23	GUSB	1
F24	MMP11	0
G1	CENPW	0
G2	MIEN1	0
G3	PHB	0
G4	CENPW	0
G5	MIEN1	0
G6	PHB	0
G7	CENPW	0
G8	MIEN1	0
G9	PHB	0
G10	CENPW	0
G11	MIEN1	0
G12	PHB	0
G13	CENPW	0
G14	MIEN1	0
G15	PHB	0
G16	CENPW	0
G17	MIEN1	0
G18	PHB	0
G19	CENPW	0
G20	MIEN1	0
G21	PHB	0
G22	CENPW	0
G23	MIEN1	0
G24	PHB	0
H1	CCNB1	0
H2	HER2	0
H3	H2AFJc	0
H4	CCNB1	0
H5	HER2	0
H6	H2AFJc	0
H7	CCNB1	0
H8	HER2	0
H9	H2AFJc	0
H10	CCNB1	0
H11	HER2	0
H12	H2AFJc	0
H13	CCNB1	0
H14	HER2	0
H15	H2AFJc	0
H16	CCNB1	0
H17	HER2	0
H18	H2AFJc	0
H19	CCNB1	0
H20	HER2	0
H21	H2AFJc	0
H22	CCNB1	0
H23	HER2	0
H24	H2AFJc	0
I1	EIF4EBP1	0
I2	MMP1	0
I3	SCUBE2	0
I4	EIF4EBP1	0
I5	MMP1	0
I6	SCUBE2	0
I7	EIF4EBP1	0
I8	MMP1	0
I9	SCUBE2	0
I10	EIF4EBP1	0
I11	MMP1	0
I12	SCUBE2	0
I13	EIF4EBP1	0
I14	MMP1	0
I15	SCUBE2	0
I16	EIF4EBP1	0
I17	MMP1	0
I18	SCUBE2	0
I19	EIF4EBP1	0
I20	MMP1	0
I21	SCUBE2	0
I22	EIF4EBP1	0
I23	MMP1	0
I24	SCUBE2	0
J1	CD68	0
J2	KI67	0
J3	PHLDA2	0
J4	CD68	0
J5	KI67	0
J6	PHLDA2	0
J7	CD68	0
J8	KI67	0
J9	PHLDA2	0
J10	CD68	0
J11	KI67	0
J12	PHLDA2	0
J13	CD68	0
J14	KI67	0
J15	PHLDA2	0
J16	CD68	0
J17	KI67	0
J18	PHLDA2	0
J19	CD68	0
J20	KI67	0
J21	PHLDA2	0
J22	CD68	0
J23	KI67	0
J24	PHLDA2	0
K1	EPB41L5	0
K2	KRT5	0
K3	BCL2	0
K4	EPB41L5	0
K5	KRT5	0
K6	BCL2	0
K7	EPB41L5	0
K8	KRT5	0
K9	BCL2	0
K10	EPB41L5	0
K11	KRT5	0
K12	BCL2	0
K13	EPB41L5	0
K14	KRT5	0
K15	BCL2	0
K16	EPB41L5	0
K17	KRT5	0
K18	BCL2	0
K19	EPB41L5	0
K20	KRT5	0
K21	BCL2	0
K22	EPB41L5	0
K23	KRT5	0
K24	BCL2	0
L1	H2AFZc	0
L2	MRPS23	0
L3	ACTB	0
L4	H2AFZc	0
L5	MRPS23	0
L6	ACTB	0
L7	H2AFZc	0
L8	MRPS23	0
L9	ACTB	0
L10	H2AFZc	0
L11	MRPS23	0
L12	ACTB	0
L13	H2AFZc	0
L14	MRPS23	0
L15	ACTB	0
L16	H2AFZc	0
L17	MRPS23	0
L18	ACTB	0
L19	H2AFZc	0
L20	MRPS23	0
L21	ACTB	0
L22	H2AFZc	0
L23	MRPS23	0
L24	ACTB	0
M1	ALDH1A1	0
M2	MYBL2	0
M3	STK15	0
M4	ALDH1A1	0
M5	MYBL2	0
M6	STK15	0
M7	ALDH1A1	0
M8	MYBL2	0
M9	STK15	0
M10	ALDH1A1	0
M11	MYBL2	0
M12	STK15	0
M13	ALDH1A1	0
M14	MYBL2	0
M15	STK15	0
M16	ALDH1A1	0
M17	MYBL2	0
M18	STK15	0
M19	ALDH1A1	0
M20	MYBL2	0
M21	STK15	0
M22	ALDH1A1	0
M23	MYBL2	0
M24	STK15	0
N1	GAPDH	1
N2	CDK12 1732	0
N3	SFN	0
N4	GAPDH	1
N5	CDK12 1732	0
N6	SFN	0
N7	GAPDH	1
N8	CDK12 1732	0
N9	SFN	0
N10	GAPDH	1
N11	CDK12 1732	0
N12	SFN	0
N13	GAPDH	1
N14	CDK12 1732	0
N15	SFN	0
N16	GAPDH	1
N17	CDK12 1732	0
N18	SFN	0
N19	GAPDH	1
N20	CDK12 1732	0
N21	SFN	0
N22	GAPDH	1
N23	CDK12 1732	0
N24	SFN	0
O1	EXOSC4	0
O2	GSTM1	0
O3	CDK1c	0
O4	EXOSC4	0
O5	GSTM1	0
O6	CDK1c	0
O7	EXOSC4	0
O8	GSTM1	0
O9	CDK1c	0
O10	EXOSC4	0
O11	GSTM1	0
O12	CDK1c	0
O13	EXOSC4	0
O14	GSTM1	0
O15	CDK1c	0
O16	EXOSC4	0
O17	GSTM1	0
O18	CDK1c	0
O19	EXOSC4	0
O20	GSTM1	0
O21	CDK1c	0
O22	EXOSC4	0
O23	GSTM1	0
O24	CDK1c	0
P1	ESR1	0
P2	HPRT1	1
P3	TOP2A	0
P4	ESR1	0
P5	HPRT1	1
P6	TOP2A	0
P7	ESR1	0
P8	HPRT1	1
P9	TOP2A	0
P10	ESR1	0
P11	HPRT1	1
P12	TOP2A	0
P13	ESR1	0
P14	HPRT1	1
P15	TOP2A	0
P16	ESR1	0
P17	HPRT1	1
P18	TOP2A	0
P19	ESR1	0
P20	HPRT1	1
P21	TOP2A	0
P22	ESR1	0
P23	HPRT1	1
P24	TOP2A	0
