Pos	TARGET	HK 
A1	ALYREF	0
A2	TBP	1
A3	ALYREF	0
A4	TBP	1
A5	ALYREF	0
A6	TBP	1
A7	ALYREF	0
A8	TBP	1
A9	ALYREF	0
A10	TBP	1
A11	ALYREF	0
A12	TBP	1
A13	ALYREF	0
A14	TBP	1
A15	ALYREF	0
A16	TBP	1
A17	ALYREF	0
A18	TBP	1
A19	ALYREF	0
A20	TBP	1
A21	ALYREF	0
A22	TBP	1
A23	ALYREF	0
A24	TBP	1
B1	APOBE C3B	0
B2	NOL3	0
B3	APOBE C3B	0
B4	NOL3	0
B5	APOBE C3B	0
B6	NOL3	0
B7	APOBE C3B	0
B8	NOL3	0
B9	APOBE C3B	0
B10	NOL3	0
B11	APOBE C3B	0
B12	NOL3	0
B13	APOBE C3B	0
B14	NOL3	0
B15	APOBE C3B	0
B16	NOL3	0
B17	APOBE C3B	0
B18	NOL3	0
B19	APOBE C3B	0
B20	NOL3	0
B21	APOBE C3B	0
B22	NOL3	0
B23	APOBE C3B	0
B24	NOL3	0
C1	RACGAP1	0
C2	PHB	0
C3	RACGAP1	0
C4	PHB	0
C5	RACGAP1	0
C6	PHB	0
C7	RACGAP1	0
C8	PHB	0
C9	RACGAP1	0
C10	PHB	0
C11	RACGAP1	0
C12	PHB	0
C13	RACGAP1	0
C14	PHB	0
C15	RACGAP1	0
C16	PHB	0
C17	RACGAP1	0
C18	PHB	0
C19	RACGAP1	0
C20	PHB	0
C21	RACGAP1	0
C22	PHB	0
C23	RACGAP1	0
C24	PHB	0
D1	CENPW	0
D2	H2AFJ	0
D3	CENPW	0
D4	H2AFJ	0
D5	CENPW	0
D6	H2AFJ	0
D7	CENPW	0
D8	H2AFJ	0
D9	CENPW	0
D10	H2AFJ	0
D11	CENPW	0
D12	H2AFJ	0
D13	CENPW	0
D14	H2AFJ	0
D15	CENPW	0
D16	H2AFJ	0
D17	CENPW	0
D18	H2AFJ	0
D19	CENPW	0
D20	H2AFJ	0
D21	CENPW	0
D22	H2AFJ	0
D23	CENPW	0
D24	H2AFJ	0
E1	EIF4EBP1	0
E2	PHLDA2	0
E3	EIF4EBP1	0
E4	PHLDA2	0
E5	EIF4EBP1	0
E6	PHLDA2	0
E7	EIF4EBP1	0
E8	PHLDA2	0
E9	EIF4EBP1	0
E10	PHLDA2	0
E11	EIF4EBP1	0
E12	PHLDA2	0
E13	EIF4EBP1	0
E14	PHLDA2	0
E15	EIF4EBP1	0
E16	PHLDA2	0
E17	EIF4EBP1	0
E18	PHLDA2	0
E19	EIF4EBP1	0
E20	PHLDA2	0
E21	EIF4EBP1	0
E22	PHLDA2	0
E23	EIF4EBP1	0
E24	PHLDA2	0
F1	EPB4 1L5	0
F2	SFN	0
F3	EPB4 1L5	0
F4	SFN	0
F5	EPB4 1L5	0
F6	SFN	0
F7	EPB4 1L5	0
F8	SFN	0
F9	EPB4 1L5	0
F10	SFN	0
F11	EPB4 1L5	0
F12	SFN	0
F13	EPB4 1L5	0
F14	SFN	0
F15	EPB4 1L5	0
F16	SFN	0
F17	EPB4 1L5	0
F18	SFN	0
F19	EPB4 1L5	0
F20	SFN	0
F21	EPB4 1L5	0
F22	SFN	0
F23	EPB4 1L5	0
F24	SFN	0
G1	H2AFZ	0
G2	CDK1	0
G3	H2AFZ	0
G4	CDK1	0
G5	H2AFZ	0
G6	CDK1	0
G7	H2AFZ	0
G8	CDK1	0
G9	H2AFZ	0
G10	CDK1	0
G11	H2AFZ	0
G12	CDK1	0
G13	H2AFZ	0
G14	CDK1	0
G15	H2AFZ	0
G16	CDK1	0
G17	H2AFZ	0
G18	CDK1	0
G19	H2AFZ	0
G20	CDK1	0
G21	H2AFZ	0
G22	CDK1	0
G23	H2AFZ	0
G24	CDK1	0
H1	GAPDH	1
H2	TOP2A	0
H3	GAPDH	1
H4	TOP2A	0
H5	GAPDH	1
H6	TOP2A	0
H7	GAPDH	1
H8	TOP2A	0
H9	GAPDH	1
H10	TOP2A	0
H11	GAPDH	1
H12	TOP2A	0
H13	GAPDH	1
H14	TOP2A	0
H15	GAPDH	1
H16	TOP2A	0
H17	GAPDH	1
H18	TOP2A	0
H19	GAPDH	1
H20	TOP2A	0
H21	GAPDH	1
H22	TOP2A	0
H23	GAPDH	1
H24	TOP2A	0
I1	EXOSC4	0
I2		0
I3	EXOSC4	0
I4		0
I5	EXOSC4	0
I6		0
I7	EXOSC4	0
I8		0
I9	EXOSC4	0
I10		0
I11	EXOSC4	0
I12		0
I13	EXOSC4	0
I14		0
I15	EXOSC4	0
I16		0
I17	EXOSC4	0
I18		0
I19	EXOSC4	0
I20		0
I21	EXOSC4	0
I22		0
I23	EXOSC4	0
I24		0
J1	LY6E	0
J2		0
J3	LY6E	0
J4		0
J5	LY6E	0
J6		0
J7	LY6E	0
J8		0
J9	LY6E	0
J10		0
J11	LY6E	0
J12		0
J13	LY6E	0
J14		0
J15	LY6E	0
J16		0
J17	LY6E	0
J18		0
J19	LY6E	0
J20		0
J21	LY6E	0
J22		0
J23	LY6E	0
J24		0
K1	GUSB	1
K2		0
K3	GUSB	1
K4		0
K5	GUSB	1
K6		0
K7	GUSB	1
K8		0
K9	GUSB	1
K10		0
K11	GUSB	1
K12		0
K13	GUSB	1
K14		0
K15	GUSB	1
K16		0
K17	GUSB	1
K18		0
K19	GUSB	1
K20		0
K21	GUSB	1
K22		0
K23	GUSB	1
K24		0
L1	MIEN1	0
L2		0
L3	MIEN1	0
L4		0
L5	MIEN1	0
L6		0
L7	MIEN1	0
L8		0
