Experiment: ex9060514  Selected Filter: FAM (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	1163	24.51		0	
True	255	A2	1163	21.54		0	
True	255	A3	1163	22.48		0	
True	255	A4	1165	27.08		0	
True	255	A5	1165	21.37		0	
True	255	A6	1165	23.16		0	
True	255	A7	1167	26.97		0	
True	255	A8	1167	22.30		0	
True	255	A9	1167	22.92		0	
True	255	A10	1169	28.30		0	
True	255	A11	1169	23.84		0	
True	255	A12	1169	24.17		0	
True	255	A13	1170	25.04		0	
True	255	A14	1170	22.13		0	
True	255	A15	1170	22.71		0	
True	255	A16	1171	26.85		0	
True	255	A17	1171	20.72		0	
True	255	A18	1171	23.19		0	
True	255	A19	1172	24.56		0	
True	255	A20	1172	21.79		0	
True	255	A21	1172	23.24		0	
True	65280	A22	POOL CELL LINES			0	
True	255	A23	POOL CELL LINES	13.21		0	
True	255	A24	POOL CELL LINES	17.14		0	
True	255	B1	1163	26.27		0	
True	255	B2	1163	25.01		0	
True	255	B3	1163	24.41		0	
True	255	B4	1165	28.90		0	
True	255	B5	1165	29.04		0	
True	255	B6	1165	27.59		0	
True	255	B7	1167	29.11		0	
True	255	B8	1167	25.98		0	
True	255	B9	1167	26.46		0	
True	255	B10	1169	29.00		0	
True	255	B11	1169	30.08		0	
True	255	B12	1169	27.66		0	
True	255	B13	1170	30.05		0	
True	255	B14	1170	29.04		0	
True	255	B15	1170	26.05		0	
True	255	B16	1171	28.54		0	
True	255	B17	1171	28.63		0	
True	255	B18	1171	25.99		0	
True	255	B19	1172	28.55		0	
True	255	B20	1172	22.98		0	
True	255	B21	1172	26.16		0	
True	255	B22	POOL CELL LINES	21.59		0	
True	255	B23	POOL CELL LINES	19.09		0	
True	255	B24	POOL CELL LINES	17.34		0	
True	255	C1	1163	26.56		0	
True	255	C2	1163	26.77		0	
True	255	C3	1163	25.28		0	
True	255	C4	1165	28.74		0	
True	255	C5	1165	28.57		0	
True	255	C6	1165	27.29		0	
True	255	C7	1167	28.29		0	
True	255	C8	1167	27.16		0	
True	255	C9	1167	27.36		0	
True	255	C10	1169	30.55		0	
True	255	C11	1169	28.02		0	
True	255	C12	1169	28.03		0	
True	255	C13	1170	27.38		0	
True	255	C14	1170	26.04		0	
True	255	C15	1170	26.53		0	
True	255	C16	1171	28.34		0	
True	255	C17	1171	27.39		0	
True	255	C18	1171	26.38		0	
True	255	C19	1172	27.17		0	
True	255	C20	1172	26.64		0	
True	255	C21	1172	26.46		0	
True	255	C22	POOL CELL LINES	19.62		0	
True	255	C23	POOL CELL LINES	15.86		0	
True	255	C24	POOL CELL LINES	20.24		0	
True	255	D1	1163	26.42		0	
True	255	D2	1163	33.04		0	
True	255	D3	1163	27.27		0	
True	255	D4	1165	26.82		0	
True	255	D5	1165	24.89		0	
True	255	D6	1165	26.90		0	
True	255	D7	1167	29.38		0	
True	255	D8	1167	31.35		0	
True	255	D9	1167	28.68		0	
True	255	D10	1169	29.99		0	
True	255	D11	1169	35.25		0	
True	255	D12	1169	29.19		0	
True	255	D13	1170	27.93		0	
True	255	D14	1170	33.64		0	
True	255	D15	1170	26.77		0	
True	255	D16	1171	28.31		0	
True	255	D17	1171	35.24		0	
True	255	D18	1171	24.11		0	
True	255	D19	1172	27.99		0	
True	255	D20	1172	31.54		0	
True	255	D21	1172	31.50		0	
True	255	D22	POOL CELL LINES	18.26		0	
True	255	D23	POOL CELL LINES	20.23		0	
True	255	D24	POOL CELL LINES	17.14		0	
True	255	E1	1163	27.54		0	
True	255	E2	1163	23.96		0	
True	255	E3	1163	26.26		0	
True	255	E4	1165	29.48		0	
True	255	E5	1165	26.70		0	
True	255	E6	1165	26.59		0	
True	255	E7	1167	28.20		0	
True	255	E8	1167	24.59		0	
True	255	E9	1167	25.92		0	
True	255	E10	1169	29.66		0	
True	255	E11	1169	26.19		0	
True	255	E12	1169	28.72		0	
True	255	E13	1170	26.96		0	
True	255	E14	1170	23.13		0	
True	255	E15	1170	26.14		0	
True	255	E16	1171	28.95		0	
True	255	E17	1171	21.50		0	
True	255	E18	1171	26.61		0	
True	255	E19	1172	27.86		0	
True	255	E20	1172	23.07		0	
True	255	E21	1172	27.48		0	
True	255	E22	POOL CELL LINES	19.49		0	
True	255	E23	POOL CELL LINES	16.01		0	
True	255	E24	POOL CELL LINES	20.60		0	
True	255	F1	1163	30.98		0	
True	255	F2	1163	23.87		0	
True	255	F3	1163	25.55		0	
True	255	F4	1165	33.15		0	
True	255	F5	1165	27.18		0	
True	255	F6	1165	26.69		0	
True	255	F7	1167	32.08		0	
True	255	F8	1167	26.77		0	
True	255	F9	1167	25.15		0	
True	255	F10	1169	34.26		0	
True	255	F11	1169	27.75		0	
True	255	F12	1169	28.38		0	
True	255	F13	1170	30.66		0	
True	255	F14	1170	26.73		0	
True	255	F15	1170	28.03		0	
True	255	F16	1171	32.71		0	
True	255	F17	1171	26.50		0	
True	255	F18	1171	25.37		0	
True	255	F19	1172	30.24		0	
True	255	F20	1172	26.69		0	
True	255	F21	1172	22.94		0	
True	255	F22	POOL CELL LINES	23.75		0	
True	255	F23	POOL CELL LINES	17.79		0	
True	255	F24	POOL CELL LINES	23.91		0	
True	255	G1	1163	25.42		0	
True	255	G2	1163	26.52		0	
True	255	G3	1163	28.13		0	
True	255	G4	1165	28.14		0	
True	255	G5	1165	28.98		0	
True	255	G6	1165	30.02		0	
True	255	G7	1167	26.70		0	
True	255	G8	1167	26.49		0	
True	255	G9	1167	28.31		0	
True	255	G10	1169	28.73		0	
True	255	G11	1169	29.86		0	
True	255	G12	1169	30.79		0	
True	255	G13	1170	26.47		0	
True	255	G14	1170	28.01		0	
True	255	G15	1170	29.18		0	
True	255	G16	1171	28.51		0	
True	255	G17	1171	28.63		0	
True	255	G18	1171	29.63		0	
