Experiment: ex2141216  Selected Filter: FAM (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	2577	24.78		0	
True	255	A2	2577	25.67		0	
True	255	A3	1187	24.86		0	
True	255	A4	1187	26.19		0	
True	255	A5	1866	26.28		0	
True	255	A6	1866	26.64		0	
True	255	A7	511	25.95		0	
True	255	A8	511	26.60		0	
True	255	A9	797	26.64		0	
True	255	A10	797	26.32		0	
True	255	A11	POOL CELL LINES CTR	15.86		0	
True	255	A12	POOL CELL LINES CTR	19.83		0	
True	65280	A13	Sample 13			0	
True	65280	A14	Sample 14			0	
True	65280	A15	Sample 15			0	
True	65280	A16	Sample 16			0	
True	65280	A17	Sample 17			0	
True	65280	A18	Sample 18			0	
True	65280	A19	Sample 19			0	
True	65280	A20	Sample 20			0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	65280	A24	Sample 24			0	
True	255	B1	2577	26.06		0	
True	255	B2	2577	24.89		0	
True	255	B3	1187	26.68		0	
True	255	B4	1187	24.48		0	
True	255	B5	1866	27.26		0	
True	255	B6	1866	26.18		0	
True	255	B7	511	27.26		0	
True	255	B8	511	26.37		0	
True	255	B9	797	27.89		0	
True	255	B10	797	24.38		0	
True	255	B11	POOL CELL LINES CTR	19.26		0	
True	255	B12	POOL CELL LINES CTR	19.71		0	
True	65280	B13	Sample 37			0	
True	65280	B14	Sample 38			0	
True	65280	B15	Sample 39			0	
True	65280	B16	Sample 40			0	
True	65280	B17	Sample 41			0	
True	65280	B18	Sample 42			0	
True	65280	B19	Sample 43			0	
True	65280	B20	Sample 44			0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	65280	B24	Sample 48			0	
True	255	C1	2577	27.23		0	
True	255	C2	2577	26.91		0	
True	255	C3	1187	27.71		0	
True	255	C4	1187	26.86		0	
True	255	C5	1866	29.01		0	
True	255	C6	1866	28.02		0	
True	255	C7	511	29.84		0	
True	255	C8	511	28.32		0	
True	255	C9	797	28.89		0	
True	255	C10	797	28.87		0	
True	255	C11	POOL CELL LINES CTR	17.58		0	
True	255	C12	POOL CELL LINES CTR	17.69		0	
True	65280	C13	Sample 61			0	
True	65280	C14	Sample 62			0	
True	65280	C15	Sample 63			0	
True	65280	C16	Sample 64			0	
True	65280	C17	Sample 65			0	
True	65280	C18	Sample 66			0	
True	65280	C19	Sample 67			0	
True	65280	C20	Sample 68			0	
True	65280	C21	Sample 69			0	
True	65280	C22	Sample 70			0	
True	65280	C23	Sample 71			0	
True	65280	C24	Sample 72			0	
True	255	D1	2577	25.86		0	
True	255	D2	2577	26.94		0	
True	255	D3	1187	26.96		0	
True	255	D4	1187	25.22		0	
True	255	D5	1866	26.77		0	
True	255	D6	1866	27.05		0	
True	255	D7	511	28.24		0	
True	255	D8	511	27.38		0	
True	255	D9	797	27.28		0	
True	255	D10	797	25.99		0	
True	255	D11	POOL CELL LINES CTR	17.74		0	
True	255	D12	POOL CELL LINES CTR	21.71		0	
True	65280	D13	Sample 85			0	
True	65280	D14	Sample 86			0	
True	65280	D15	Sample 87			0	
True	65280	D16	Sample 88			0	
True	65280	D17	Sample 89			0	
True	65280	D18	Sample 90			0	
True	65280	D19	Sample 91			0	
True	65280	D20	Sample 92			0	
True	65280	D21	Sample 93			0	
True	65280	D22	Sample 94			0	
True	65280	D23	Sample 95			0	
True	65280	D24	Sample 96			0	
True	255	E1	2577	24.54		0	
True	255	E2	2577	26.33		0	
True	255	E3	1187	24.66		0	
True	255	E4	1187	26.07		0	
True	255	E5	1866	25.65		0	
True	255	E6	1866	28.45		0	
True	255	E7	511	26.01		0	
True	255	E8	511	29.03		0	
True	255	E9	797	25.96		0	
True	255	E10	797	29.82		0	
True	255	E11	POOL CELL LINES CTR	16.57		0	
True	255	E12	POOL CELL LINES CTR	16.68		0	
True	65280	E13	Sample 109			0	
True	65280	E14	Sample 110			0	
True	65280	E15	Sample 111			0	
True	65280	E16	Sample 112			0	
True	65280	E17	Sample 113			0	
True	65280	E18	Sample 114			0	
True	65280	E19	Sample 115			0	
True	65280	E20	Sample 116			0	
True	65280	E21	Sample 117			0	
True	65280	E22	Sample 118			0	
True	65280	E23	Sample 119			0	
True	65280	E24	Sample 120			0	
True	255	F1	2577	26.05		0	
True	255	F2	2577	25.76		0	
